Assessment_Date,Address,Building_Alarm_System,Building_Sprinklered,Fire_Extinguishers,LatLong,Latitude,Longitude
2024-01-18,151 Essa Road ,No,No,Yes,"(44.3681723, -79.6949992)",44.3681723,-79.6949992
2024-01-18,92 Commerce Park Drive,No,No,No,"(44.3250793, -79.6871339)",44.3250793,-79.6871339
2024-01-09,92 Commerce Park Drive ,No,Yes,Yes,"(44.3250793, -79.6871339)",44.3250793,-79.6871339
2024-01-19,157 Essa rd,Yes,No,Yes,"(44.36777722691562, -79.69528282023161)",44.36777722691562,-79.69528282023161
2024-01-22,13 Dunlop st west,No,No,Yes,"(44.38897006666667, -79.69048566666667)",44.38897006666667,-79.69048566666667
2024-01-22,92 commerce park ,No,Yes,Yes,"(41.68630993052714, -70.0168738093475)",41.68630993052714,-70.0168738093475
2024-01-22,92 commerce park drive ,No,Yes,Yes,"(44.3250793, -79.6871339)",44.3250793,-79.6871339
2024-01-23,142 Commerce Park Drive,No,Yes,Yes,"(44.3236908, -79.6933354)",44.3236908,-79.6933354
2024-01-24,102 Commerce Park,No,Yes,Yes,"(41.68606885, -70.01747497575448)",41.68606885,-70.01747497575448
2024-01-23,556 Bryne,No,Yes,Yes,"(44.327525266223105, -79.6882799419939)",44.327525266223105,-79.6882799419939
2024-01-23,142 Commerce Park,No,Yes,Yes,"(41.68686223753188, -70.01566540311535)",41.68686223753188,-70.01566540311535
2024-01-24,78 Mary St. ,No,No,Yes,"(42.08670085, -75.91164069999999)",42.08670085,-75.91164069999999
2024-01-24,76 Mary St. ,No,No,Yes,"(42.4020423, -82.1962016)",42.4020423,-82.1962016
2024-01-24,62 Mary St. ,No,No,No,"(45.6733991, -82.2706376)",45.6733991,-82.2706376
2024-01-24, 70 Morrow road,Yes,No,Yes,"(44.38994212224776, -75.97829741018307)",44.38994212224776,-75.97829741018307
2024-01-24,12 Bryne Drive,Yes,Yes,Yes,"(44.3273973, -79.6881158)",44.3273973,-79.6881158
2024-01-24,142 commerce park ,No,No,Yes,"(41.68686223753188, -70.01566540311535)",41.68686223753188,-70.01566540311535
2024-01-24,142 commerce park ,No,Yes,Yes,"(41.68686223753188, -70.01566540311535)",41.68686223753188,-70.01566540311535
2024-01-25,28 Currie st,No,Yes,Yes,"(-45.8183594, 170.6205382)",-45.8183594,170.6205382
2024-01-25,373 Huronia road,No,No,Yes,"(44.3533817, -79.6649249)",44.3533817,-79.6649249
2024-01-25,28 Currie Street,No,Yes,No,"(-45.8183594, 170.6205382)",-45.8183594,170.6205382
2024-01-25,35 Morrow,No,Yes,Yes,"(-27.492448500000002, 152.98058756012438)",-27.492448500000002,152.98058756012438
2024-01-25,30 morrow,No,Yes,Yes,"(45.590543, -62.6514154)",45.590543,-62.6514154
2024-01-26,331 bayfield st,No,No,Yes,"(44.4024954, -79.7009607)",44.4024954,-79.7009607
2024-01-26,331 bayfield st,No,Yes,Yes,"(44.4024954, -79.7009607)",44.4024954,-79.7009607
2024-01-27,411 Bayfield St. ,No,Yes,Yes,"(44.4097443, -79.7072901)",44.4097443,-79.7072901
2024-01-27,411 Bayfield St. ,Yes,Yes,Yes,"(44.4097443, -79.7072901)",44.4097443,-79.7072901
2024-01-29,92 Commerce Park Dr.,No,Yes,Yes,"(44.3250793, -79.6871339)",44.3250793,-79.6871339
2024-01-29,360 Bayfield St,No,No,Yes,"(44.4047789, -79.7037795)",44.4047789,-79.7037795
2024-01-30,60 Mary St,No,No,Yes,"(45.6733967, -82.2705111)",45.6733967,-82.2705111
2024-01-31,411 huronia,No,No,Yes,"(44.3526529, -79.664045)",44.3526529,-79.664045
2024-01-31,411 huronia,No,No,No,"(44.3526529, -79.664045)",44.3526529,-79.664045
2024-01-31,411 Huronia rd,No,No,Yes,"(44.3526529, -79.664045)",44.3526529,-79.664045
2024-01-31,319 Bayfield St,Yes,No,Yes,"(44.4017199, -79.70025146922383)",44.4017199,-79.70025146922383
2024-02-01,124 Dunlop st,No,No,Yes,"(43.8790776, -79.4336252)",43.8790776,-79.4336252
2024-02-01,5 Clapperton,No,No,Yes,"(43.7105872, -79.275175)",43.7105872,-79.275175
2024-02-02,660 Bayview,Yes,Yes,Yes,"(45.51017965, -76.09409993165985)",45.51017965,-76.09409993165985
2024-02-02,123 Dunlop st W,No,No,Yes,"(39.63557034892842, -80.86244604104907)",39.63557034892842,-80.86244604104907
2024-02-02,13 Clapperton,No,No,Yes,"(-37.9177259, 145.0247553)",-37.9177259,145.0247553
2024-02-02,11 clapperton,No,No,Yes,"(44.3898589, -79.6899622)",44.3898589,-79.6899622
2024-02-02,19 clapperton,No,No,Yes,"(43.88509779743022, -79.0492810729626)",43.88509779743022,-79.0492810729626
2024-02-02,18 clapperton,No,No,Yes,"(43.884979322131166, -79.04948441418244)",43.884979322131166,-79.04948441418244
2024-02-05,110 Saunders rd ,No,Yes,No,"(44.332515, -79.68297710867381)",44.332515,-79.68297710867381
2023-05-09,556 Bryne Drive,No,Yes,Yes,"(44.327525266223105, -79.6882799419939)",44.327525266223105,-79.6882799419939
2024-02-07,112 Commerce Park Drive,No,Yes,No,"(43.97731144660337, -75.94038745106272)",43.97731144660337,-75.94038745106272
2024-02-08,74 Cedar Point ,No,No,No,"(32.35412807512803, -80.8490827264268)",32.35412807512803,-80.8490827264268
2024-02-08,74 cedar Point,No,No,No,"(32.35412807512803, -80.8490827264268)",32.35412807512803,-80.8490827264268
2024-02-08,68 Maple,No,No,Yes,"(53.167269399999995, -1.0643106034315075)",53.167269399999995,-1.0643106034315075
2024-02-08,68 Maple ,No,No,Yes,"(53.167269399999995, -1.0643106034315075)",53.167269399999995,-1.0643106034315075
2024-02-09,482 Bayfield street ,No,No,Yes,"(44.4118051, -79.71032711237288)",44.4118051,-79.71032711237288
2024-02-09,422 Tiffin St.,No,No,Yes,"(44.36853740196135, -79.71807991639272)",44.36853740196135,-79.71807991639272
2024-02-09,10 Dunlop street East,No,No,Yes,"(44.38938240909091, -79.68952252727271)",44.38938240909091,-79.68952252727271
2024-02-16,44 Dunlop Street East,No,No,No,"(44.389390522727275, -79.68846481818183)",44.389390522727275,-79.68846481818183
2024-02-12,25 Morrow rd ,No,Yes,Yes,"(44.3902741081367, -75.97584031848245)",44.3902741081367,-75.97584031848245
2024-02-12,12 Fairview dr ,No,No,No,"(10.716996, -61.499576)",10.716996,-61.499576
2024-02-13,90 Ardagh Rd. ,No,No,Yes,"(44.3576112, -79.703791)",44.3576112,-79.703791
2024-02-13,102 commerce park,No,Yes,Yes,"(41.68606885, -70.01747497575448)",41.68606885,-70.01747497575448
2024-02-14,490 Bayfield street,No,No,Yes,"(44.4121104, -79.7109876)",44.4121104,-79.7109876
2024-02-14,144 burton avenue,No,No,Yes,"(40.516584800000004, -74.20478118807983)",40.516584800000004,-74.20478118807983
2024-02-14,114 burton ave,No,No,No,"(40.51723775, -74.20519035875)",40.51723775,-74.20519035875
2024-02-14,140 burton ave,No,No,Yes,"(40.71923965, -111.88694978012255)",40.71923965,-111.88694978012255
2024-02-14,827 big bay point rd,No,No,Yes,"(44.3643323, -79.6147118)",44.3643323,-79.6147118
2024-02-14,827 big bay point rd,No,No,No,"(44.3643323, -79.6147118)",44.3643323,-79.6147118
2024-02-12,122 commerce park ,No,Yes,Yes,"(41.68671752635945, -70.01576152123727)",41.68671752635945,-70.01576152123727
2024-02-12,122 Commerce Park Drive,No,Yes,Yes,"(43.977535152106185, -75.94038866028166)",43.977535152106185,-75.94038866028166
2024-02-12,92 Commerce Park Drive ,No,No,No,"(44.3250793, -79.6871339)",44.3250793,-79.6871339
2024-02-15,112 Commerce Park Drive ,No,Yes,Yes,"(43.97731144660337, -75.94038745106272)",43.97731144660337,-75.94038745106272
2024-02-18,307 Bayfield street,No,No,Yes,"(44.401091449999996, -79.69905982608124)",44.401091449999996,-79.69905982608124
2024-02-18,309 Bayfield street,No,No,Yes,"(44.400678275000004, -79.69973865833333)",44.400678275000004,-79.69973865833333
2024-02-18,311 bayfield,No,No,No,"(43.1528987, -87.911419506497)",43.1528987,-87.911419506497
2024-02-21,36 Morrow Rd,Yes,No,Yes,"(44.390061295432105, -75.9763840746091)",44.390061295432105,-75.9763840746091
2024-02-21,28 Currie Street,No,Yes,Yes,"(-45.8183594, 170.6205382)",-45.8183594,170.6205382
2024-02-21,122 commerce park drive,No,Yes,Yes,"(43.977535152106185, -75.94038866028166)",43.977535152106185,-75.94038866028166
2024-02-21,174 Prince William Way,No,No,Yes,"(44.352423, -79.61113065447154)",44.352423,-79.61113065447154
2024-02-21,122 Commerce Park Drive,No,Yes,Yes,"(43.977535152106185, -75.94038866028166)",43.977535152106185,-75.94038866028166
2024-02-22,172 Prince William Way,No,Yes,Yes,"(44.352444, -79.61162218386312)",44.352444,-79.61162218386312
